protein_ac,gene_name,protein_name,entrez_id
Q6I9Y2,THOC7,THO complex subunit 7 homolog,80145
O15534,PER1,Period circadian protein homolog 1,5187
Q6ZTI6,RFLNA,Refilin-A,144347
O95166,GABARAP,Gamma-aminobutyric acid receptor-associated protein,11337
Q9NT22,EMILIN3,EMILIN-3,90187
Q9UDY8,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,10892
Q96IV0,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,55768
O14958,CASQ2,Calsequestrin-2,845
Q9BUA3,SPINDOC,Spindlin interactor and repressor of chromatin-binding protein,144097
Q9BZA7,PCDH11X,Protocadherin-11 X-linked,27328
Q569K6,CCDC157,Coiled-coil domain-containing protein 157,550631
P61158,ACTR3,Actin-related protein 3,10096
P33176,KIF5B,Kinesin-1 heavy chain,3799
Q9BVV2,FNDC11,Fibronectin type III domain-containing protein 11,79025
Q9BU89,DOHH,Deoxyhypusine hydroxylase,83475
Q96A46,SLC25A28,Mitoferrin-2,81894
Q9BSA9,TMEM175,Endosomal/lysosomal potassium channel TMEM175,84286
Q13536,C1orf61,Protein CROC-4,10485
Q9Y5R2,MMP24,Matrix metalloproteinase-24,10893
Q9NR30,DDX21,Nucleolar RNA helicase 2,9188
P08833,IGFBP1,Insulin-like growth factor-binding protein 1,3484
Q8N661,TMEM86B,Lysoplasmalogenase,255043
Q5UCC4,EMC10,ER membrane protein complex subunit 10,284361
Q9BV86,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,28989
Q5VZ18,SHE,SH2 domain-containing adapter protein E,126669
Q8TDB8,SLC2A14,Solute carrier family 2,144195
P41221,WNT5A,Protein Wnt-5a,7474
O60784,TOM1,Target of Myb protein 1,10043
Q96J92,WNK4,Serine/threonine-protein kinase WNK4,65266
P35225,IL13,Interleukin-13,3596
P05937,CALB1,Calbindin,793
P47898,HTR5A,5-hydroxytryptamine receptor 5A,3361
Q9NZM4,BICRA,BRD4-interacting chromatin-remodeling complex-associated protein,29998
Q9BWQ6,YIPF2,Protein YIPF2,78992
P27918,CFP,Properdin,5199
Q96HB5,CCDC120,Coiled-coil domain-containing protein 120,90060
P36959,GMPR,GMP reductase 1,2766
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,196513
Q9UI46,DNAI1,Dynein intermediate chain 1,27019
P36894,BMPR1A,Bone morphogenetic protein receptor type-1A,657
Q96FL8,SLC47A1,Multidrug and toxin extrusion protein 1,55244
Q6P280,ZNF529,Zinc finger protein 529,57711
Q96FL9,GALNT14,Polypeptide N-acetylgalactosaminyltransferase 14,79623
Q96PL5,ERMAP,Erythroid membrane-associated protein,114625
Q8NE22,SETD9,SET domain-containing protein 9,133383
P23763,VAMP1,Vesicle-associated membrane protein 1,6843
O43520,ATP8B1,Phospholipid-transporting ATPase IC,5205
Q6P0N0,MIS18BP1,Mis18-binding protein 1,55320
Q2M3C7,SPHKAP,A-kinase anchor protein SPHKAP,80309
P08238,HSP90AB1,Heat shock protein HSP 90-beta,3326
P51460,INSL3,Insulin-like 3,3640
P55010,EIF5,Eukaryotic translation initiation factor 5,1983
O94806,PRKD3,Serine/threonine-protein kinase D3,23683
O75323,NIPSNAP2,Protein NipSnap homolog 2,2631
P47928,ID4,DNA-binding protein inhibitor ID-4,3400
Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2,54209
Q8N4C0,C9orf62,Putative uncharacterized protein C9orf62,157927
Q8N5I4,DHRSX,Dehydrogenase/reductase SDR family member on chromosome X,207063
Q9NWW5,CLN6,Ceroid-lipofuscinosis neuronal protein 6,54982
P0CJ78,ZNF865,Zinc finger protein 865,100507290
Q9NSI5,IGSF5,Immunoglobulin superfamily member 5,150084
Q9ULZ1,APLN,Apelin,8862
Q6ZUJ4,C3orf62,Uncharacterized protein C3orf62,375341
O43913,ORC5,Origin recognition complex subunit 5,5001
O60476,MAN1A2,Mannosyl-oligosaccharide 1,10905
Q12756,KIF1A,Kinesin-like protein KIF1A,547
Q07912,TNK2,Activated CDC42 kinase 1,10188
Q8N3C7,CLIP4,CAP-Gly domain-containing linker protein 4,79745
O15060,ZBTB39,Zinc finger and BTB domain-containing protein 39,9880
Q5XKK7,FAM219B,Protein FAM219B,57184
Q16873,LTC4S,Leukotriene C4 synthase,4056
O43542,XRCC3,DNA repair protein XRCC3,7517
Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6,5930
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,10598
P51168,SCNN1B,Amiloride-sensitive sodium channel subunit beta,6338
Q8TE77,SSH3,Protein phosphatase Slingshot homolog 3,54961
A0FGR9,ESYT3,Extended synaptotagmin-3,83850
P05141,SLC25A5,ADP/ATP translocase 2,292
Q6P531,GGT6,Glutathione hydrolase 6,124975
O15239,NDUFA1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,4694
Q96B70,LENG9,Leukocyte receptor cluster member 9,94059
Q8N446,ZNF843,Zinc finger protein 843,283933
Q93034,CUL5,Cullin-5,8065
O00623,PEX12,Peroxisome assembly protein 12,5193
Q6ZV77,C9orf139,Uncharacterized protein C9orf139,401563
Q16254,E2F4,Transcription factor E2F4,1874
P52429,DGKE,Diacylglycerol kinase epsilon,8526
Q6NYC8,PPP1R18,Phostensin,170954
P22794,EVI2A,Protein EVI2A,2123
Q9NZC3,GDE1,Glycerophosphodiester phosphodiesterase 1,51573
Q9NR09,BIRC6,Baculoviral IAP repeat-containing protein 6,57448
Q9UGC7,MTRF1L,Peptide chain release factor 1-like,54516
P35548,MSX2,Homeobox protein MSX-2,4488
O94913,PCF11,Pre-mRNA cleavage complex 2 protein Pcf11,51585
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,487
Q92784,DPF3,Zinc finger protein DPF3,8110
Q9BVG4,PBDC1,Protein PBDC1,51260
Q96SN8,CDK5RAP2,CDK5 regulatory subunit-associated protein 2,55755
Q86WR6,C17orf64,Uncharacterized protein C17orf64,124773
P08637,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A,2214
Q6N022,TENM4,Teneurin-4,26011
O60882,MMP20,Matrix metalloproteinase-20,9313
Q9Y5E6,PCDHB3,Protocadherin beta-3,56132
Q86VF5,MOGAT3,2-acylglycerol O-acyltransferase 3,346606
P26367,PAX6,Paired box protein Pax-6,5080
Q2NL82,TSR1,Pre-rRNA-processing protein TSR1 homolog,55720
Q86W74,ANKRD46,Ankyrin repeat domain-containing protein 46,157567
Q15233,NONO,Non-POU domain-containing octamer-binding protein,4841
Q9BQS8,FYCO1,FYVE and coiled-coil domain-containing protein 1,79443
Q9NYW2,TAS2R8,Taste receptor type 2 member 8,50836
P80075,CCL8,C-C motif chemokine 8,6355
Q6STE5,SMARCD3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3,6604
P49810,PSEN2,Presenilin-2,5664
Q9Y421,FAM32A,Protein FAM32A,26017
Q9UGP4,LIMD1,LIM domain-containing protein 1,8994
Q9BR76,CORO1B,Coronin-1B,57175
Q02153,GUCY1B1,Guanylate cyclase soluble subunit beta-1,2983
Q9UHJ6,SHPK,Sedoheptulokinase,23729
Q9BW62,KATNAL1,Katanin p60 ATPase-containing subunit A-like 1,84056
P35658,NUP214,Nuclear pore complex protein Nup214,8021
Q2Q1W2,TRIM71,E3 ubiquitin-protein ligase TRIM71,131405
O75563,SKAP2,Src kinase-associated phosphoprotein 2,8935
Q99594,TEAD3,Transcriptional enhancer factor TEF-5,7005
Q6UB98,ANKRD12,Ankyrin repeat domain-containing protein 12,23253
Q8IY47,KBTBD2,Kelch repeat and BTB domain-containing protein 2,25948
O15335,CHAD,Chondroadherin,1101
P16662,UGT2B7,UDP-glucuronosyltransferase 2B7,7364
Q96CM8,ACSF2,Medium-chain acyl-CoA ligase ACSF2,80221
O95969,SCGB1D2,Secretoglobin family 1D member 2,10647
Q86XK3,SFR1,Swi5-dependent recombination DNA repair protein 1 homolog,119392
Q96RV3,PCNX1,Pecanex-like protein 1,22990
Q8N2U0,TMEM256,Transmembrane protein 256,254863
P50876,RNF144A,E3 ubiquitin-protein ligase RNF144A,9781
Q8IY95,TMEM192,Transmembrane protein 192,201931
P78562,PHEX,Phosphate-regulating neutral endopeptidase PHEX,5251
Q7Z5S9,TMEM144,Transmembrane protein 144,55314
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,79658
Q969X1,TMBIM1,Protein lifeguard 3,64114
Q9UBF2,COPG2,Coatomer subunit gamma-2,26958
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,481
Q13478,IL18R1,Interleukin-18 receptor 1,8809
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,8795
Q96DA0,ZG16B,Zymogen granule protein 16 homolog B,124220
Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3,1456
Q5THJ4,VPS13D,Vacuolar protein sorting-associated protein 13D,55187
Q9NZH7,IL36B,Interleukin-36 beta,27177
O96008,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,10452
Q13387,MAPK8IP2,C-Jun-amino-terminal kinase-interacting protein 2,23542
O15354,GPR37,Prosaposin receptor GPR37,2861
A2VDJ0,TMEM131L,Transmembrane protein 131-like,23240
Q9ULD4,BRPF3,Bromodomain and PHD finger-containing protein 3,27154
Q96HP0,DOCK6,Dedicator of cytokinesis protein 6,57572
Q9NWS0,PIH1D1,PIH1 domain-containing protein 1,55011
Q9UKA8,RCAN3,Calcipressin-3,11123
Q86W34,AMZ2,Archaemetzincin-2,51321
Q8N5N7,MRPL50,39S ribosomal protein L50,54534
P41236,PPP1R2,Protein phosphatase inhibitor 2,5504
Q9NWW6,NMRK1,Nicotinamide riboside kinase 1,54981
Q9NQ86,TRIM36,E3 ubiquitin-protein ligase TRIM36,55521
Q99967,CITED2,Cbp/p300-interacting transactivator 2,10370
Q9BRV3,SLC50A1,Sugar transporter SWEET1,55974
Q9NRM2,ZNF277,Zinc finger protein 277,11179
P60033,CD81,CD81 antigen,975
Q5TC63,GRTP1,Growth hormone-regulated TBC protein 1,79774
P43652,AFM,Afamin,173
Q99470,SDF2,Stromal cell-derived factor 2,6388
Q96RF0,SNX18,Sorting nexin-18,112574
Q9NYG5,ANAPC11,Anaphase-promoting complex subunit 11,51529
O00635,TRIM38,E3 ubiquitin-protein ligase TRIM38,10475
Q92847,GHSR,Growth hormone secretagogue receptor type 1,2693
Q99583,MNT,Max-binding protein MNT,4335
Q9NZI5,GRHL1,Grainyhead-like protein 1 homolog,29841
O43291,SPINT2,Kunitz-type protease inhibitor 2,10653
Q9C0D0,PHACTR1,Phosphatase and actin regulator 1,221692
P31327,CPS1,Carbamoyl-phosphate synthase [ammonia],1373
Q5RL73,RBM48,RNA-binding protein 48,84060
P06307,CCK,Cholecystokinin,885
Q99418,CYTH2,Cytohesin-2,9266
Q96CS3,FAF2,FAS-associated factor 2,23197
P24864,CCNE1,G1/S-specific cyclin-E1,898
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,5894
Q9UBH6,XPR1,Xenotropic and polytropic retrovirus receptor 1,9213
O43763,TLX2,T-cell leukemia homeobox protein 2,3196
P61764,STXBP1,Syntaxin-binding protein 1,6812
Q7Z3T1,OR2W3,Olfactory receptor 2W3,343171
P09619,PDGFRB,Platelet-derived growth factor receptor beta,5159
P51504,ZNF80,Zinc finger protein 80,7634
Q8N2G4,LYPD1,Ly6/PLAUR domain-containing protein 1,116372
Q9UHB7,AFF4,AF4/FMR2 family member 4,27125
Q15750,TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,10454
Q9NUJ1,ABHD10,Mycophenolic acid acyl-glucuronide esterase,55347
Q0JRZ9,FCHO2,F-BAR domain only protein 2,115548
Q96JQ0,DCHS1,Protocadherin-16,8642
Q9H1B4,NXF5,Nuclear RNA export factor 5,55998
O96001,PPP1R17,Protein phosphatase 1 regulatory subunit 17,10842
Q96EH5,RPL39L,60S ribosomal protein L39-like,116832
Q9H3M9,ATXN3L,Ataxin-3-like protein,92552
Q9Y2Z2,MTO1,Protein MTO1 homolog,25821
P61225,RAP2B,Ras-related protein Rap-2b,5912
Q9Y5Q8,GTF3C5,General transcription factor 3C polypeptide 5,9328
P08590,MYL3,Myosin light chain 3,4634
Q86UE8,TLK2,Serine/threonine-protein kinase tousled-like 2,11011
Q9NQM4,PIH1D3,Protein PIH1D3,139212
O95425,SVIL,Supervillin,6840
P12107,COL11A1,Collagen alpha-1(XI) chain,1301
Q8N3Y7,SDR16C5,Epidermal retinol dehydrogenase 2,195814
Q9H2V7,SPNS1,Protein spinster homolog 1,83985
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,50484
Q8NFB2,TMEM185A,Transmembrane protein 185A,84548
Q92737,RASL10A,Ras-like protein family member 10A,10633
Q5W0V3,FAM160B1,Protein FAM160B1,57700
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,5305
Q9ULX6,AKAP8L,A-kinase anchor protein 8-like,26993
Q969U6,FBXW5,F-box/WD repeat-containing protein 5,54461
Q8TBY0,RBM46,Probable RNA-binding protein 46,166863
Q96IM9,DYDC2,DPY30 domain-containing protein 2,84332
Q9ULC3,RAB23,Ras-related protein Rab-23,51715
Q9NWT8,AURKAIP1,Aurora kinase A-interacting protein,54998
Q6ZTR5,CFAP47,Cilia- and flagella-associated protein 47,286464
Q14181,POLA2,DNA polymerase alpha subunit B,23649
Q2M1V0,ISX,Intestine-specific homeobox,91464
Q9BYE3,LCE3D,Late cornified envelope protein 3D,84648
Q96DZ9,CMTM5,CKLF-like MARVEL transmembrane domain-containing protein 5,116173
Q8WXI4,ACOT11,Acyl-coenzyme A thioesterase 11,26027
O60235,TMPRSS11D,Transmembrane protease serine 11D,9407
P04004,VTN,Vitronectin,7448
O95931,CBX7,Chromobox protein homolog 7,23492
Q8WWW8,GAB3,GRB2-associated-binding protein 3,139716
Q5TBA9,FRY,Protein furry homolog,10129
O43609,SPRY1,Protein sprouty homolog 1,10252
Q7Z2K8,GPRIN1,G protein-regulated inducer of neurite outgrowth 1,114787
Q9UJ90,KCNE5,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,23630
Q86TL2,STIMATE,Store-operated calcium entry regulator STIMATE,375346
P08173,CHRM4,Muscarinic acetylcholine receptor M4,1132
Q13614,MTMR2,Myotubularin-related protein 2,8898
Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9088
P85298,ARHGAP8,Rho GTPase-activating protein 8,23779
P01127,PDGFB,Platelet-derived growth factor subunit B,5155
Q8N6R0,EEF1AKNMT,eEF1A lysine and N-terminal methyltransferase,51603
Q9HBR0,SLC38A10,Putative sodium-coupled neutral amino acid transporter 10,124565
O60930,RNASEH1,Ribonuclease H1,246243
Q14194,CRMP1,Dihydropyrimidinase-related protein 1,1400
Q9NP72,RAB18,Ras-related protein Rab-18,22931
Q4LDE5,SVEP1,Sushi,79987
P02679,FGG,Fibrinogen gamma chain,2266
P49662,CASP4,Caspase-4,837
Q68EA5,ZNF57,Zinc finger protein 57,126295
Q9H8N7,ZNF395,Zinc finger protein 395,55893
Q9BUV0,RSRP1,Arginine/serine-rich protein 1,57035
Q7Z7M9,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,11227
Q8N264,ARHGAP24,Rho GTPase-activating protein 24,83478
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H,10465
P27037,ACVR2A,Activin receptor type-2A,92
Q6ZW31,SYDE1,Rho GTPase-activating protein SYDE1,85360
Q9BZE7,C22orf23,UPF0193 protein EVG1,84645
Q969W9,PMEPA1,Protein TMEPAI,56937
Q9GZS3,WDR61,WD repeat-containing protein 61,80349
P49840,GSK3A,Glycogen synthase kinase-3 alpha,2931
Q96JY6,PDLIM2,PDZ and LIM domain protein 2,64236
P24855,DNASE1,Deoxyribonuclease-1,1773
Q8N841,TTLL6,Tubulin polyglutamylase TTLL6,284076
Q9Y4J8,DTNA,Dystrobrevin alpha,1837
Q9UL63,MKLN1,Muskelin,4289
Q10567,AP1B1,AP-1 complex subunit beta-1,162
Q8IZP0,ABI1,Abl interactor 1,10006
Q86XL3,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,23141
Q70EK9,USP51,Ubiquitin carboxyl-terminal hydrolase 51,158880
Q13571,LAPTM5,Lysosomal-associated transmembrane protein 5,7805
Q8NFA2,NOXO1,NADPH oxidase organizer 1,124056
Q6IQ26,DENND5A,DENN domain-containing protein 5A,23258
P59047,NLRP5,NACHT,126206
O75554,WBP4,WW domain-binding protein 4,11193
Q96F81,DISP1,Protein dispatched homolog 1,84976
Q71RG4,TMUB2,Transmembrane and ubiquitin-like domain-containing protein 2,79089
Q2VIQ3,KIF4B,Chromosome-associated kinesin KIF4B,285643
Q14209,E2F2,Transcription factor E2F2,1870
P55073,DIO3,Thyroxine 5-deiodinase,1735
Q1X8D7,LRRC36,Leucine-rich repeat-containing protein 36,55282
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,57611
P29376,LTK,Leukocyte tyrosine kinase receptor,4058
Q6KCM7,SLC25A25,Calcium-binding mitochondrial carrier protein SCaMC-2,114789
O95972,BMP15,Bone morphogenetic protein 15,9210
Q9Y2J2,EPB41L3,Band 4.1-like protein 3,23136
Q96DB5,RMDN1,Regulator of microtubule dynamics protein 1,51115
Q9UFD9,RIMBP3,RIMS-binding protein 3A,85376
Q9UJW2,TINAG,Tubulointerstitial nephritis antigen,27283
O15069,NACAD,NAC-alpha domain-containing protein 1,23148
Q86SG5,S100A7A,Protein S100-A7A,338324
Q96MV1,TLCD4,TLC domain-containing protein 4,148534
P46439,GSTM5,Glutathione S-transferase Mu 5,2949
Q9UKQ2,ADAM28,Disintegrin and metalloproteinase domain-containing protein 28,10863
Q02846,GUCY2D,Retinal guanylyl cyclase 1,3000
P61970,NUTF2,Nuclear transport factor 2,10204
Q4VC12,MSS51,Putative protein MSS51 homolog,118490
O75882,ATRN,Attractin,8455
Q9HB89,NMUR1,Neuromedin-U receptor 1,10316
Q6PIZ9,TRAT1,T-cell receptor-associated transmembrane adapter 1,50852
O00409,FOXN3,Forkhead box protein N3,1112
Q96JS3,PGBD1,PiggyBac transposable element-derived protein 1,84547
Q8IYX0,ZNF679,Zinc finger protein 679,168417
Q8WWI1,LMO7,LIM domain only protein 7,4008
P00751,CFB,Complement factor B,629
Q9BVI4,NOC4L,Nucleolar complex protein 4 homolog,79050
Q8N4C8,MINK1,Misshapen-like kinase 1,50488
O94823,ATP10B,Probable phospholipid-transporting ATPase VB,23120
O95393,BMP10,Bone morphogenetic protein 10,27302
Q99720,SIGMAR1,Sigma non-opioid intracellular receptor 1,10280
Q5QGS0,NEXMIF,Neurite extension and migration factor,340533
Q96P66,GPR101,Probable G-protein coupled receptor 101,83550
Q8WXE1,ATRIP,ATR-interacting protein,84126
Q15599,SLC9A3R2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,9351
Q14524,SCN5A,Sodium channel protein type 5 subunit alpha,6331
Q13505,MTX1,Metaxin-1,4580
Q9H0Y0,ATG10,Ubiquitin-like-conjugating enzyme ATG10,83734
Q5VTM2,AGAP9,Arf-GAP with GTPase,642517
Q6PI98,INO80C,INO80 complex subunit C,125476
Q7Z412,PEX26,Peroxisome assembly protein 26,55670
Q8TF66,LRRC15,Leucine-rich repeat-containing protein 15,131578
Q9HDD0,PLAAT1,Phospholipase A and acyltransferase 1,57110
Q99853,FOXB1,Forkhead box protein B1,27023
P07864,LDHC,L-lactate dehydrogenase C chain,3948
P48751,SLC4A3,Anion exchange protein 3,6508
Q7Z7L7,ZER1,Protein zer-1 homolog,10444
Q14534,SQLE,Squalene monooxygenase,6713
Q9NUU6,OTULINL,Inactive ubiquitin thioesterase OTULINL,54491
O75586,MED6,Mediator of RNA polymerase II transcription subunit 6,10001
Q9Y651,SOX21,Transcription factor SOX-21,11166
Q8N8F7,LSMEM1,Leucine-rich single-pass membrane protein 1,286006
P22309,UGT1A1,UDP-glucuronosyltransferase 1-1,54658
O95471,CLDN7,Claudin-7,1366
Q9NRP0,OSTC,Oligosaccharyltransferase complex subunit OSTC,58505
Q7L8L6,FASTKD5,FAST kinase domain-containing protein 5,60493
Q5T011,SZT2,KICSTOR complex protein SZT2,23334
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,3181
Q9BVL4,SELENOO,Protein adenylyltransferase SelO,83642
P28562,DUSP1,Dual specificity protein phosphatase 1,1843
Q9GZV8,PRDM14,PR domain zinc finger protein 14,63978
Q14669,TRIP12,E3 ubiquitin-protein ligase TRIP12,9320
P36543,ATP6V1E1,V-type proton ATPase subunit E 1,529
Q8WWL2,SPIRE2,Protein spire homolog 2,84501
P07919,UQCRH,Cytochrome b-c1 complex subunit 6,7388
Q8WX92,NELFB,Negative elongation factor B,25920
Q8N488,RYBP,RING1 and YY1-binding protein,23429
Q9BYC5,FUT8,Alpha-(1,2530
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,23078
Q99707,MTR,Methionine synthase,4548
Q6ZVX7,NCCRP1,F-box only protein 50,342897
Q96JB5,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,80279
Q7RTU0,TCF24,Transcription factor 24,100129654
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,27072
Q9Y5I1,PCDHA11,Protocadherin alpha-11,56138
Q05066,SRY,Sex-determining region Y protein,6736
Q08289,CACNB2,Voltage-dependent L-type calcium channel subunit beta-2,783
Q8TDW0,LRRC8C,Volume-regulated anion channel subunit LRRC8C,84230
Q96CP7,TLCD1,TLC domain-containing protein 1,116238
Q14202,ZMYM3,Zinc finger MYM-type protein 3,9203
Q9ULK0,GRID1,Glutamate receptor ionotropic,2894
Q86WS5,TMPRSS12,Transmembrane protease serine 12,283471
Q01726,MC1R,Melanocyte-stimulating hormone receptor,4157
Q5I7T1,ALG10B,Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,144245
O60902,SHOX2,Short stature homeobox protein 2,6474
P53708,ITGA8,Integrin alpha-8,8516
Q8WXJ9,ASB17,Ankyrin repeat and SOCS box protein 17,127247
Q99525,HIST1H4G,Histone H4-like protein type G,8369
Q9NQV6,PRDM10,PR domain zinc finger protein 10,56980
Q9H3H3,C11orf68,UPF0696 protein C11orf68,83638
P13928,ANXA8,Annexin A8,728113
Q6PHR2,ULK3,Serine/threonine-protein kinase ULK3,25989
P57086,SCAND1,SCAN domain-containing protein 1,51282
P00352,ALDH1A1,Retinal dehydrogenase 1,216
P61587,RND3,Rho-related GTP-binding protein RhoE,390
Q8WUU4,ZNF296,Zinc finger protein 296,162979
O14817,TSPAN4,Tetraspanin-4,7106
O75157,TSC22D2,TSC22 domain family protein 2,9819
O75971,SNAPC5,snRNA-activating protein complex subunit 5,10302
A4FU49,SH3D21,SH3 domain-containing protein 21,79729
Q86UV6,TRIM74,Tripartite motif-containing protein 74,378108
Q9NUM3,SLC39A9,Zinc transporter ZIP9,55334
Q9UHK6,AMACR,Alpha-methylacyl-CoA racemase,23600
Q9Y287,ITM2B,Integral membrane protein 2B,9445
Q9HAU0,PLEKHA5,Pleckstrin homology domain-containing family A member 5,54477
P32238,CCKAR,Cholecystokinin receptor type A,886
O95639,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,10898
Q8N2U9,SLC66A2,Solute carrier family 66 member 2,80148
Q5SRE7,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1,254295
P49768,PSEN1,Presenilin-1,5663
Q96M02,C10orf90,(E2-independent) E3 ubiquitin-conjugating enzyme FATS,118611
O43399,TPD52L2,Tumor protein D54,7165
Q9Y561,LRP12,Low-density lipoprotein receptor-related protein 12,29967
Q96F63,CCDC97,Coiled-coil domain-containing protein 97,90324
Q92536,SLC7A6,Y+L amino acid transporter 2,9057
Q8NCC5,SLC37A3,Sugar phosphate exchanger 3,84255
Q96S38,RPS6KC1,Ribosomal protein S6 kinase delta-1,26750
Q9UKY4,POMT2,Protein O-mannosyl-transferase 2,29954
Q99489,DDO,D-aspartate oxidase,8528
